E_c,E_p
6.773,3.469
6.863,3.380
6.953,3.291
7.042,3.202
7.131,3.113
7.220,3.025
7.309,2.937
7.397,2.850
7.485,2.763
7.572,2.676
7.659,2.590
7.745,2.505
7.830,2.420
7.915,2.336
7.999,2.253
8.082,2.170
8.165,2.088
8.246,2.008
8.327,1.928
8.406,1.849
8.485,1.772
8.562,1.695
8.638,1.620
8.713,1.546
8.787,1.473
8.859,1.401
8.930,1.331
9.000,1.262
9.068,1.195
9.135,1.129
9.201,1.065
9.264,1.002
9.326,0.941
9.387,0.881
9.446,0.823
9.503,0.767
9.558,0.713
9.612,0.660
9.664,0.609
9.714,0.560
9.762,0.513
9.808,0.468
9.853,0.425
9.895,0.384
9.935,0.344
9.974,0.307
10.010,0.272
10.044,0.239
10.076,0.208
10.106,0.179
10.134,0.152
10.160,0.127
10.184,0.104
10.205,0.084
10.225,0.066
10.242,0.050
10.257,0.036
10.269,0.025
10.280,0.015
10.288,0.008
10.294,0.003
10.298,0.001
10.299,0.000
10.299,0.002
10.296,0.006
10.290,0.012
10.283,0.021
10.273,0.032
10.261,0.045
10.247,0.060
10.231,0.077
10.212,0.097
10.192,0.119
10.169,0.143
10.144,0.169
10.116,0.197
10.087,0.228
10.056,0.260
10.022,0.295
9.987,0.332
9.949,0.370
9.909,0.411
9.868,0.454
9.824,0.499
9.778,0.545
9.731,0.594
9.681,0.644
9.630,0.696
9.577,0.751
9.522,0.807
9.465,0.864
9.407,0.924
9.347,0.985
9.285,1.047
9.222,1.112
9.157,1.177
9.090,1.245
9.022,1.314
8.953,1.384
8.882,1.456
8.810,1.529
8.737,1.603
8.662,1.679
8.586,1.756
8.509,1.834
8.431,1.913
8.351,1.993
8.271,2.074
8.189,2.156
8.107,2.239
8.024,2.323
7.940,2.408
7.855,2.494
7.770,2.580
7.683,2.667
7.596,2.754
7.509,2.842
7.421,2.931
7.333,3.020
7.244,3.110
7.155,3.199
7.066,3.289
6.976,3.380
6.886,3.470
6.796,3.561
6.706,3.651
6.616,3.742
6.526,3.832
6.436,3.923
6.346,4.013
6.257,4.103
6.167,4.193
6.078,4.283
5.989,4.372
5.901,4.460
5.813,4.549
5.726,4.636
5.639,4.724
5.553,4.810
5.468,4.896
5.383,4.981
5.299,5.065
5.216,5.149
5.134,5.231
5.052,5.313
4.972,5.394
4.892,5.474
