Symplectic Euler,,
E_c,E_p,E_m
11.596,25.978,37.574
10.877,26.712,37.589
10.188,27.416,37.604
9.531,28.090,37.620
8.906,28.731,37.637
8.316,29.338,37.654
7.762,29.910,37.672
7.244,30.446,37.690
6.763,30.946,37.709
6.319,31.408,37.728
5.914,31.833,37.746
5.545,32.220,37.765
5.214,32.569,37.784
4.920,32.882,37.802
4.662,33.158,37.820
4.438,33.399,37.837
4.249,33.605,37.853
4.091,33.778,37.869
3.965,33.920,37.885
3.869,34.030,37.900
3.802,34.112,37.914
3.762,34.165,37.928
3.750,34.191,37.941
3.765,34.190,37.955
3.807,34.161,37.969
3.878,34.105,37.983
3.977,34.020,37.997
4.106,33.906,38.013
4.267,33.762,38.028
4.460,33.585,38.045
4.687,33.375,38.062
4.949,33.131,38.080
5.247,32.851,38.098
5.582,32.535,38.117
5.954,32.181,38.135
6.364,31.790,38.154
6.811,31.362,38.173
7.296,30.895,38.192
7.818,30.392,38.210
8.376,29.852,38.228
8.970,29.276,38.246
9.598,28.665,38.263
10.259,28.021,38.279
10.951,27.344,38.295
11.673,26.636,38.310
12.424,25.900,38.323
13.200,25.136,38.336
14.001,24.347,38.348
14.823,23.535,38.359
15.665,22.703,38.368
16.525,21.852,38.377
17.399,20.985,38.384
18.286,20.104,38.389
19.182,19.212,38.394
20.085,18.312,38.397
20.992,17.407,38.399
21.901,16.498,38.399
22.809,15.589,38.399
23.713,14.683,38.396
24.611,13.782,38.393
25.499,12.889,38.388
26.375,12.006,38.381
27.236,11.137,38.374
28.080,10.284,38.365
28.904,9.450,38.354
29.705,8.637,38.343
30.482,7.848,38.330
31.231,7.085,38.316
31.950,6.351,38.301
32.637,5.647,38.284
33.290,4.977,38.267
33.908,4.341,38.249
34.487,3.743,38.230
35.026,3.184,38.209
35.523,2.665,38.188
35.978,2.189,38.167
36.388,1.756,38.144
36.752,1.369,38.121
37.070,1.028,38.098
37.339,0.734,38.074
37.560,0.489,38.049
37.732,0.293,38.024
37.853,0.146,37.999
37.924,0.050,37.974
37.945,0.004,37.949
37.915,0.009,37.924
37.834,0.064,37.898
37.703,0.170,37.873
37.522,0.326,37.848
37.292,0.532,37.824
37.013,0.786,37.800
36.687,1.089,37.776
36.314,1.439,37.753
35.895,1.835,37.730
35.432,2.276,37.708
34.927,2.760,37.687
34.380,3.286,37.666
33.794,3.853,37.647
33.169,4.459,37.628
32.510,5.101,37.611
31.816,5.778,37.594
31.091,6.487,37.579
30.337,7.227,37.564
29.556,7.996,37.551
28.750,8.789,37.539
27.922,9.607,37.528
27.074,10.445,37.519
26.210,11.301,37.511
25.332,12.172,37.504
24.441,13.057,37.499
23.543,13.952,37.494
22.638,14.854,37.492
21.729,15.761,37.490
20.820,16.670,37.490
19.913,17.579,37.492
19.011,18.483,37.495
18.117,19.382,37.499
17.233,20.272,37.504
16.361,21.150,37.511
15.505,22.014,37.519
14.666,22.862,37.528
13.847,23.691,37.538
13.051,24.499,37.550
12.279,25.283,37.562
11.534,26.041,37.576
10.817,26.773,37.590
10.131,27.474,37.605
9.476,28.145,37.621
8.855,28.784,37.638
8.268,29.388,37.656
7.716,29.957,37.674
7.202,30.490,37.692
6.724,30.987,37.710
6.283,31.446,37.729
5.881,31.867,37.748
5.516,32.251,37.767
5.188,32.597,37.785
4.897,32.907,37.803
4.641,33.180,37.821
4.421,33.417,37.838
4.234,33.621,37.855
4.079,33.791,37.871
3.956,33.930,37.886
3.862,34.038,37.901
3.797,34.118,37.915
3.760,34.169,37.929
3.750,34.192,37.942
3.768,34.188,37.956
3.812,34.157,37.970
3.885,34.099,37.984
3.987,34.012,37.999
4.119,33.895,38.014
4.282,33.748,38.030
4.478,33.568,38.046
4.708,33.356,38.064
4.973,33.108,38.081
5.274,32.825,38.100
5.612,32.506,38.118
5.988,32.149,38.137
6.401,31.755,38.156
6.851,31.323,38.175
7.339,30.854,38.193
7.864,30.348,38.212
8.425,29.804,38.230
9.022,29.226,38.247
9.653,28.612,38.264
10.316,27.964,38.281
11.011,27.285,38.296
11.736,26.575,38.311
12.489,25.836,38.325
13.267,25.070,38.337
14.070,24.279,38.349
14.894,23.465,38.360
15.738,22.631,38.369
16.599,21.779,38.377
17.474,20.910,38.384
18.361,20.029,38.390
19.258,19.136,38.394
20.162,18.236,38.397
21.069,17.330,38.399
21.979,16.421,38.399
22.886,15.512,38.398
23.790,14.606,38.396
24.687,13.706,38.392
25.574,12.813,38.387
26.449,11.932,38.381
27.309,11.064,38.373
28.151,10.213,38.364
28.973,9.380,38.353
29.772,8.569,38.342
30.547,7.782,38.329
31.293,7.021,38.315
32.010,6.290,38.299
32.694,5.589,38.283
33.344,4.921,38.266
33.958,4.289,38.247
34.534,3.694,38.228
35.070,3.138,38.208
35.564,2.623,38.187
36.015,2.150,38.165
36.421,1.721,38.142
36.781,1.338,38.119
37.095,1.001,38.096
37.360,0.711,38.072
37.577,0.470,38.047
37.744,0.278,38.022
37.861,0.136,37.997
37.928,0.044,37.972
37.944,0.003,37.947
37.910,0.012,37.921
37.825,0.071,37.896
37.690,0.181,37.871
37.505,0.342,37.846
37.270,0.551,37.822
36.988,0.810,37.797
36.657,1.117,37.774
36.280,1.471,37.751
35.858,1.870,37.728
35.391,2.315,37.706
34.882,2.803,37.685
34.332,3.333,37.665
33.742,3.903,37.645
33.115,4.512,37.627
32.452,5.157,37.609
31.756,5.837,37.593
31.028,6.549,37.577
30.271,7.292,37.563
29.488,8.062,37.550
28.680,8.858,37.538
27.851,9.677,37.527
27.002,10.517,37.518
26.136,11.374,37.510
25.256,12.247,37.503
24.365,13.133,37.498
23.466,14.028,37.494
22.560,14.931,37.492
21.652,15.838,37.490
20.743,16.747,37.491
19.837,17.656,37.492
18.935,18.560,37.495
18.041,19.458,37.499
17.158,20.347,37.505
16.288,21.224,37.511
15.433,22.087,37.519
14.596,22.933,37.529
13.779,23.760,37.539
12.985,24.566,37.551
12.215,25.348,37.563
11.472,26.105,37.577
10.758,26.833,37.591
10.074,27.533,37.607
9.422,28.201,37.623
8.804,28.836,37.640
8.220,29.438,37.657
7.671,30.004,37.675
7.160,30.534,37.693
6.685,31.027,37.712
6.248,31.483,37.731
5.848,31.901,37.750
5.486,32.282,37.768
5.162,32.625,37.787
4.874,32.931,37.805
4.621,33.201,37.823
4.404,33.436,37.840
4.220,33.637,37.856
4.068,33.804,37.872
3.947,33.940,37.887
3.856,34.046,37.902
3.793,34.123,37.916
3.758,34.172,37.930
3.751,34.193,37.944
3.770,34.187,37.957
3.817,34.154,37.971
3.893,34.093,37.985
3.997,34.003,38.000
4.131,33.884,38.015
4.297,33.734,38.031
4.496,33.552,38.048
4.729,33.336,38.065
4.997,33.086,38.083
5.301,32.800,38.101
5.643,32.477,38.120
6.021,32.117,38.138
6.437,31.720,38.157
6.891,31.285,38.176
7.382,30.813,38.195
7.910,30.303,38.213
8.475,29.757,38.231
9.074,29.175,38.249
9.708,28.558,38.266
10.374,27.908,38.282
11.072,27.226,38.297
11.799,26.513,38.312
12.554,25.772,38.326
13.334,25.004,38.338
14.139,24.211,38.350
14.965,23.395,38.360
15.810,22.559,38.370
16.672,21.705,38.378
17.549,20.836,38.385
18.437,19.953,38.390
19.335,19.060,38.395
20.239,18.159,38.398
21.147,17.252,38.399
22.056,16.344,38.399
22.963,15.435,38.398
23.866,14.529,38.396
24.762,13.629,38.392
25.649,12.738,38.387
26.522,11.858,38.380
27.381,10.991,38.372
28.222,10.141,38.363
29.042,9.310,38.352
29.839,8.501,38.341
30.611,7.716,38.327
31.355,6.958,38.313
32.069,6.229,38.298
32.751,5.531,38.282
33.398,4.866,38.264
34.009,4.237,38.246
34.581,3.645,38.226
35.113,3.093,38.206
35.604,2.581,38.185
36.051,2.112,38.163
36.453,1.687,38.140
36.810,1.308,38.117
37.119,0.975,38.094
37.380,0.689,38.069
37.593,0.452,38.045
37.756,0.264,38.020
37.869,0.126,37.995
37.931,0.039,37.970
37.943,0.001,37.945
37.904,0.015,37.919
37.815,0.079,37.894
37.676,0.193,37.869
37.487,0.358,37.844
37.248,0.571,37.820
36.961,0.834,37.795
36.627,1.145,37.772
36.246,1.503,37.749
35.820,1.906,37.726
35.349,2.355,37.704
34.837,2.847,37.683
34.283,3.380,37.663
33.690,3.954,37.644
33.060,4.565,37.625
32.394,5.214,37.608
31.695,5.896,37.591
30.965,6.611,37.576
30.206,7.356,37.562
29.420,8.129,37.549
28.610,8.927,37.537
27.779,9.748,37.527
26.929,10.589,37.517
26.062,11.448,37.510
25.181,12.322,37.503
24.289,13.208,37.498
23.389,14.105,37.494
22.483,15.008,37.491
21.575,15.916,37.490
20.666,16.825,37.491
19.760,17.733,37.492
18.859,18.636,37.495
17.966,19.534,37.500
17.083,20.422,37.505
16.214,21.298,37.512
15.361,22.159,37.520
14.525,23.004,37.530
13.710,23.830,37.540
12.918,24.633,37.552
12.151,25.414,37.564
11.410,26.168,37.578
10.699,26.894,37.593
10.017,27.591,37.608
