Explicict Eueler,,
E_c,E_p,E_m
29.047,32.960,62.007
27.515,34.536,62.051
26.000,36.094,62.095
24.507,37.632,62.139
23.039,39.143,62.182
21.602,40.624,62.226
20.200,42.070,62.270
18.837,43.477,62.314
17.516,44.841,62.357
16.243,46.158,62.401
15.020,47.424,62.444
13.852,48.636,62.487
12.740,49.790,62.530
11.688,50.885,62.573
10.699,51.916,62.615
9.775,52.882,62.657
8.917,53.781,62.698
8.127,54.612,62.739
7.406,55.373,62.779
6.754,56.064,62.818
6.172,56.684,62.856
5.658,57.235,62.893
5.211,57.717,62.928
4.830,58.132,62.962
4.511,58.483,62.994
4.253,58.772,63.025
4.051,59.002,63.053
3.903,59.177,63.080
3.806,59.299,63.105
3.757,59.372,63.129
3.755,59.397,63.152
3.801,59.375,63.176
3.896,59.305,63.201
4.041,59.186,63.227
4.240,59.014,63.254
4.497,58.787,63.284
4.814,58.502,63.316
5.195,58.154,63.349
5.643,57.741,63.384
6.160,57.261,63.421
6.747,56.712,63.459
7.406,56.092,63.498
8.137,55.401,63.538
8.941,54.639,63.579
9.815,53.806,63.621
10.761,52.903,63.664
11.775,51.932,63.707
12.856,50.894,63.750
14.002,49.792,63.794
15.210,48.628,63.838
16.478,47.405,63.882
17.801,46.126,63.927
19.177,44.795,63.972
20.601,43.415,64.017
22.071,41.991,64.062
23.581,40.526,64.107
25.128,39.025,64.152
26.706,37.492,64.198
28.312,35.932,64.243
29.940,34.349,64.289
31.586,32.749,64.335
33.245,31.136,64.381
34.911,29.516,64.427
36.580,27.893,64.473
38.247,26.272,64.519
39.906,24.659,64.565
41.553,23.058,64.611
43.182,21.475,64.657
44.788,19.915,64.703
46.367,18.383,64.750
47.913,16.883,64.796
49.422,15.420,64.842
50.889,14.000,64.889
52.309,12.626,64.935
53.678,11.304,64.982
54.992,10.037,65.028
56.246,8.829,65.075
57.436,7.685,65.121
58.559,6.609,65.168
59.612,5.603,65.215
60.590,4.671,65.261
61.491,3.817,65.308
62.312,3.043,65.355
63.050,2.352,65.402
63.702,1.746,65.449
64.268,1.228,65.496
64.744,0.799,65.543
65.129,0.460,65.590
65.423,0.214,65.637
65.623,0.060,65.684
65.730,0.001,65.731
65.742,0.035,65.778
65.661,0.164,65.825
65.485,0.387,65.872
65.216,0.704,65.920
64.854,1.113,65.967
64.400,1.614,66.014
63.855,2.206,66.061
63.222,2.886,66.109
62.503,3.654,66.156
61.698,4.506,66.204
60.812,5.440,66.251
59.846,6.453,66.299
58.804,7.543,66.346
57.688,8.706,66.394
56.503,9.939,66.442
55.252,11.238,66.489
53.938,12.599,66.537
52.567,14.018,66.585
51.142,15.490,66.633
49.668,17.012,66.680
48.149,18.579,66.728
46.590,20.186,66.776
44.997,21.827,66.824
43.373,23.499,66.872
41.724,25.196,66.920
40.056,26.912,66.968
38.373,28.643,67.016
36.681,30.383,67.064
34.985,32.127,67.112
33.291,33.869,67.160
31.603,35.605,67.208
29.927,37.329,67.256
28.269,39.036,67.304
26.632,40.720,67.352
25.024,42.377,67.400
23.447,44.001,67.448
21.908,45.588,67.496
20.410,47.134,67.544
18.959,48.633,67.592
17.558,50.081,67.639
16.212,51.474,67.687
14.925,52.809,67.734
13.700,54.081,67.781
12.540,55.288,67.828
11.448,56.427,67.874
10.426,57.494,67.920
9.478,58.488,67.966
8.604,59.406,68.011
7.806,60.248,68.055
7.085,61.013,68.098
6.439,61.701,68.140
5.870,62.311,68.181
5.374,62.846,68.220
4.951,63.306,68.258
4.598,63.695,68.293
4.312,64.015,68.327
4.088,64.270,68.358
3.923,64.464,68.388
3.814,64.601,68.415
3.759,64.683,68.441
3.755,64.713,68.467
3.802,64.691,68.493
3.903,64.617,68.520
4.059,64.490,68.548
4.274,64.305,68.579
4.552,64.059,68.611
4.898,63.749,68.646
5.314,63.370,68.683
5.803,62.919,68.722
6.369,62.394,68.762
7.012,61.792,68.804
7.735,61.113,68.848
8.537,60.355,68.892
9.419,59.519,68.937
10.379,58.605,68.983
11.416,57.614,69.030
12.529,56.548,69.077
13.716,55.409,69.125
14.973,54.200,69.173
16.298,52.923,69.221
17.688,51.582,69.270
19.138,50.180,69.318
20.646,48.721,69.367
22.207,47.209,69.417
23.817,45.649,69.466
25.471,44.045,69.516
27.164,42.402,69.565
28.891,40.724,69.615
30.648,39.017,69.665
32.429,37.286,69.715
34.228,35.537,69.765
36.041,33.774,69.815
37.862,32.004,69.865
39.685,30.231,69.916
41.504,28.461,69.966
43.315,26.701,70.016
45.112,24.955,70.067
46.888,23.229,70.117
48.639,21.528,70.168
50.360,19.859,70.218
52.044,18.225,70.269
53.686,16.633,70.320
55.282,15.088,70.370
56.826,13.595,70.421
58.314,12.158,70.472
59.741,10.782,70.523
61.102,9.472,70.574
62.393,8.232,70.625
63.610,7.066,70.676
64.749,5.978,70.727
65.807,4.971,70.778
66.779,4.050,70.829
67.664,3.216,70.880
68.458,2.474,70.931
69.158,1.825,70.982
69.762,1.271,71.034
70.269,0.816,71.085
70.676,0.460,71.136
70.982,0.204,71.186
71.185,0.051,71.236
71.285,0.000,71.285
71.280,0.052,71.332
71.171,0.208,71.379
70.959,0.465,71.424
70.643,0.826,71.468
70.224,1.287,71.511
69.705,1.848,71.553
69.087,2.508,71.595
68.372,3.264,71.637
67.563,4.115,71.678
66.663,5.057,71.720
65.675,6.089,71.763
64.602,7.206,71.808
63.449,8.407,71.855
62.219,9.687,71.906
60.916,11.042,71.958
59.541,12.469,72.010
58.099,13.963,72.062
56.594,15.520,72.114
55.032,17.135,72.166
53.416,18.802,72.218
51.753,20.518,72.271
50.047,22.276,72.323
48.303,24.072,72.375
46.528,25.899,72.427
44.727,27.753,72.480
42.905,29.628,72.532
41.068,31.517,72.584
39.222,33.415,72.637
37.372,35.317,72.689
35.525,37.216,72.742
33.687,39.107,72.794
31.862,40.984,72.847
30.057,42.842,72.899
28.278,44.673,72.952
26.529,46.474,73.004
24.817,48.239,73.056
23.146,49.962,73.109
21.522,51.638,73.161
19.950,53.263,73.213
18.433,54.832,73.265
16.977,56.339,73.317
15.586,57.782,73.368
14.264,59.156,73.420
13.014,60.457,73.471
11.839,61.683,73.522
10.742,62.830,73.572
9.725,63.896,73.622
8.791,64.880,73.671
7.940,65.779,73.719
7.173,66.593,73.766
6.490,67.322,73.812
5.890,67.967,73.857
5.371,68.528,73.900
4.932,69.008,73.941
4.569,69.411,73.979
4.277,69.738,74.015
4.054,69.995,74.049
3.894,70.187,74.081
3.794,70.316,74.110
3.752,70.387,74.139
3.765,70.401,74.166
3.836,70.359,74.195
3.964,70.261,74.225
4.155,70.102,74.257
4.412,69.879,74.291
4.741,69.587,74.328
5.144,69.223,74.367
5.627,68.782,74.409
6.192,68.260,74.452
6.842,67.656,74.497
7.578,66.966,74.544
8.401,66.191,74.592
9.312,65.329,74.641
10.309,64.382,74.691
11.393,63.349,74.742
12.560,62.233,74.793
13.809,61.036,74.845
15.137,59.760,74.897
16.542,58.408,74.950
18.019,56.984,75.003
19.565,55.491,75.056
21.176,53.933,75.110
22.848,52.315,75.163
24.575,50.642,75.217
26.353,48.918,75.271
28.177,47.148,75.325
30.042,45.338,75.380
31.941,43.493,75.434
33.870,41.619,75.489
35.822,39.721,75.543
37.792,37.806,75.598
39.774,35.879,75.653
41.761,33.946,75.707
43.748,32.014,75.762
45.728,30.089,75.817
47.696,28.176,75.872
49.645,26.282,75.927
51.570,24.412,75.982
53.464,22.574,76.038
55.321,20.771,76.093
57.136,19.012,76.148
58.904,17.300,76.203
60.617,15.642,76.259
62.272,14.043,76.314
63.862,12.508,76.370
65.383,11.042,76.425
66.831,9.650,76.481
68.199,8.337,76.536
69.485,7.107,76.592
70.684,5.963,76.648
71.792,4.911,76.703
72.805,3.953,76.758
73.718,3.093,76.811
74.529,2.334,76.863
75.233,1.678,76.912
75.829,1.129,76.958
76.313,0.687,77.000
76.684,0.356,77.039
76.940,0.135,77.074
77.079,0.026,77.105
77.102,0.030,77.132
77.008,0.147,77.155
76.797,0.376,77.173
76.470,0.717,77.187
76.027,1.169,77.196
75.471,1.730,77.201
74.804,2.399,77.203
74.027,3.173,77.200
73.144,4.050,77.194
72.158,5.027,77.185
71.072,6.100,77.172
69.891,7.267,77.158
68.619,8.523,77.142
67.261,9.864,77.125
65.821,11.286,77.107
64.305,12.785,77.090
62.719,14.356,77.075
61.068,15.994,77.062
59.359,17.694,77.053
57.597,19.452,77.049
55.789,21.262,77.051
53.942,23.120,77.062
52.062,25.021,77.083
50.155,26.961,77.116
48.229,28.934,77.164
46.287,30.933,77.220
44.326,32.950,77.276
42.353,34.979,77.332
40.374,37.014,77.388
38.396,39.048,77.444
36.424,41.077,77.501
34.465,43.092,77.557
32.525,45.088,77.613
30.609,47.060,77.669
28.725,49.000,77.725
26.877,50.904,77.781
25.072,52.765,77.837
23.315,54.578,77.893
21.611,56.338,77.949
19.966,58.039,78.005
18.384,59.677,78.061
16.870,61.246,78.116
15.428,62.743,78.171
14.062,64.164,78.226
